No,Tanggal,Jenis Trans,IN/OUT,Product Code/Model,Jenis Barang,Nama Barang,Serial Number,Gudang/Rak,Jumlah,Keterangan,,,Jenis Trans,IN/OUT,ket,,,,,,,
78,1-Jan-25,SALDO,IN,W1120A,Imaging Drum,HP 120A Original Laser Imaging Drum,CNB1R29XWD,Rak F,1,,Imaging DrumHP 120A Original Laser Imaging Drum,,,,HDD Total,,,,24,11,,35
79,1-Jan-25,SALDO,IN,SIP-T33G,IP-Phone,YEALINK Classic IP Phone SIP-T33G,201046F050017116,Rak D,1,24.9A.D8.4F.E9.36,IP-PhoneYEALINK Classic IP Phone SIP-T33G,,,,HDD External,HDD External SEAGATE Backup Plus Slim 2TB,Lemari,,2,,,2
80,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002832,Lemari Kaca,1,24.9A.D8.22.7E.C2,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,HDD External SEAGATE Backup Plus Slim 2TB Total,,,2,,,2
81,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090003105,Rak D,1,24.9A.D8.22.7E.C9,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,HDD External SEAGATE Expansion portable hard drive 5 TB,Lemari,,2,1,,3
82,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090003464,Rak D,1,24.9A.D8.22.7F.74,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,HDD External SEAGATE Expansion portable hard drive 5 TB Total,,,2,1,,3
83,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090001709,Rak D,1,24.9A.D8.22.79.C1,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,HDD External SEAGATE OneTouch 5TB,Lemari,,2,,,2
84,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090001762,Rak D,1,24.9A.D8.22.7C.0C,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,HDD External SEAGATE OneTouch 5TB Total,,,2,,,2
85,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090001822,Rak D,1,24.9A.D8.22.7A.ED,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,WD External HDD MYBOOK 22 TB,Lemari,,2,2,,4
86,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002190,Rak D,1,24.9A.D8.22.7A.FB,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,WD External HDD MYBOOK 22 TB Total,,,2,2,,4
87,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002367,Rak D,1,24.9A.D8.22.7A.FF,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,WD External HDD MYBOOK DUO 20 TB,Lemari,,1,,,1
88,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002413,Rak D,1,24.9A.D8.22.79.C2,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,WD External HDD MYBOOK DUO 20 TB Total,,,1,,,1
89,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002639,Rak D,1,24.9A.D8.22.7C.0A,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,WD External HDD MYPASSPORT ULTRA 5 TB,Lemari,,2,2,,4
90,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002927,Rak D,1,24.9A.D8.22.7C.22,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,WD External HDD MYPASSPORT ULTRA 5 TB Total,,,2,2,,4
91,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002950,Rak D,1,24.9A.D8.22.7C.1F,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,HDD External Total,,,,11,5,,16
92,1-Jan-25,SALDO,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090003002,Rak D,1,24.9A.D8.22.7C.10,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,HDD Server,HDD Server (Baru),Lemari,,5,,,5
93,1-Jan-25,SALDO,IN,SIP-T33G,IP-Phone,YEALINK Classic IP Phone SIP-T33G,201046F050016860,Rak D,1,24.9A.D8.4F.E9.BC,IP-PhoneYEALINK Classic IP Phone SIP-T33G,,,,,,Lemari Kaca,,3,,,3
94,1-Jan-25,SALDO,IN,SIP-T33G,IP-Phone,YEALINK Classic IP Phone SIP-T33G,201046F050017038,Rak D,1,24.9A.D8.4F.E8.39,IP-PhoneYEALINK Classic IP Phone SIP-T33G,,,,,HDD Server (Baru) Total,,,8,,,8
95,1-Jan-25,SALDO,IN,SIP-T33G,IP-Phone,YEALINK Classic IP Phone SIP-T33G,201046F050018227,Rak D,1,24.9A.D8.4F.E8.56,IP-PhoneYEALINK Classic IP Phone SIP-T33G,,,,,HDD Server (Bekas/Rusak),Lemari,,11,11,,22
96,1-Jan-25,SALDO,IN,SIP-T33G,IP-Phone,YEALINK Classic IP Phone SIP-T33G,201046F050016207,Rak D,1,24.9A.D8.4F.EC.31,IP-PhoneYEALINK Classic IP Phone SIP-T33G,,,,,,Rak D,,11,,,11
97,1-Jan-25,SALDO,IN,CJ688TPBU,Jack Module,PANDUIT Mini-com tx6 Plus Jack Module,,Lemari,9,,Jack ModulePANDUIT Mini-com tx6 Plus Jack Module,,,,,HDD Server (Bekas/Rusak) Total,,,22,11,,33
98,1-Jan-25,SALDO,IN,CJ688TPBU,Jack Module,PANDUIT Mini-com tx6 Plus Jack Module,,Rak C,241,,Jack ModulePANDUIT Mini-com tx6 Plus Jack Module,,,,HDD Server Total,,,,30,11,,41
99,1-Jan-25,SALDO,IN,,Kabel,BAFO Kabel HDMI 10m,,Rak A,2,,KabelBAFO Kabel HDMI 10m,,,,HDMI Extender,HDMI Extender,Lemari Kaca,,3,3,,6
100,1-Jan-25,SALDO,IN,,Kabel,BAFO Kabel HDMI 5m,,Rak A,2,,KabelBAFO Kabel HDMI 5m,,,,,HDMI Extender Total,,,3,3,,6
101,1-Jan-25,SALDO,IN,,Kabel,Kabel DP,,Lemari Kaca,1,,KabelKabel DP,,,,,NETLINE HDMI Extender 200m Cat5e/6e,Lemari Kaca,,5,,,5
102,1-Jan-25,SALDO,IN,,Kabel,Kabel HDMI,,Lemari Kaca,11,,KabelKabel HDMI,,,,,,Rak A,,5,5,,10
103,1-Jan-25,SALDO,IN,,Kabel,Kabel VGA,,Lemari Kaca,3,,KabelKabel VGA,,,,,NETLINE HDMI Extender 200m Cat5e/6e Total,,,10,5,,15
104,1-Jan-25,SALDO,IN,,Kabel,Kabel Power,,Lemari Kaca,3,,KabelKabel Power,,,,HDMI Extender Total,,,,13,8,,21
105,1-Jan-25,SALDO,IN,HDMI-15,Kabel,PX Super High Speed HDMI Cable With Ethernet 15m,,Rak A,1,,KabelPX Super High Speed HDMI Cable With Ethernet 15m,,,,HDMI Splitter,BAFO 2 Port HDMI 2.0 Splitter,Lemari Kaca,,1,,,1
106,1-Jan-25,SALDO,IN,,Keyboard Mouse,LOGITECH Silent Wireless Combo,,Lemari,2,"1 new, 1 hilang receiver",Keyboard MouseLOGITECH Silent Wireless Combo,,,,,,Rak A,,1,,,1
107,1-Jan-25,SALDO,IN,,Keyboard Mouse,LOGITECH Silent Wireless Combo,,Rak E,5,,Keyboard MouseLOGITECH Silent Wireless Combo,,,,,BAFO 2 Port HDMI 2.0 Splitter Total,,,2,,,2
108,1-Jan-25,SALDO,IN,YU0042,Keyboard,LOGITECH Keyboard K120,2416MR00E798,Rak E,1,ELTO 2414 - PO4500371318,KeyboardLOGITECH Keyboard K120,,,,,BAFO 4 Port HDMI 2.0 Splitter,Lemari Kaca,,1,,,1
109,1-Jan-25,SALDO,IN,YU0042,Keyboard,LOGITECH Keyboard K120,2416MR00E7A8,Rak E,1,ELTO 2414 - PO4500371318,KeyboardLOGITECH Keyboard K120,,,,,,Rak A,,1,,,1
